Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
2,True,DF_Brasilia_Pfizer,DF -> Brasilia,kj,DF,-15.83,-47.86,Brasilia,-15.7975,-47.8919,2.108,7703,Pfizer,rodoviario
2,True,DF_Brasilia_AstraZeneca,DF -> Brasilia,kj,DF,-15.83,-47.86,Brasilia,-15.7975,-47.8919,2.108,11141,AstraZeneca,rodoviario
2,True,DF_Brasilia_Janssen,DF -> Brasilia,kj,DF,-15.83,-47.86,Brasilia,-15.7975,-47.8919,2.108,184,Janssen,rodoviario
2,True,ES_Vitoria_Pfizer,ES -> Vitoria,kj,ES,-19.19,-40.34,Vitoria,-20.3155,-40.3128,2.603,905,Pfizer,aereo
2,True,ES_Vitoria_AstraZeneca,ES -> Vitoria,kj,ES,-19.19,-40.34,Vitoria,-20.3155,-40.3128,2.603,1182,AstraZeneca,aereo
2,True,ES_Vitoria_Janssen,ES -> Vitoria,kj,ES,-19.19,-40.34,Vitoria,-20.3155,-40.3128,2.603,125,Janssen,aereo
2,True,GO_Goiania_AstraZeneca,GO -> Goiania,kj,GO,-16.64,-49.31,Goiania,-16.6869,-49.2648,2.154,4146,AstraZeneca,rodoviario
2,True,MA_SaoLuis_Pfizer,MA -> SaoLuis,kj,MA,-2.55,-44.3,SaoLuis,-2.5274,-44.3061,2.056,6241,Pfizer,rodoviario
2,True,MA_SaoLuis_AstraZeneca,MA -> SaoLuis,kj,MA,-2.55,-44.3,SaoLuis,-2.5274,-44.3061,2.056,4732,AstraZeneca,rodoviario
2,True,MT_Cuiaba_CoronaVac,MT -> Cuiaba,kj,MT,-12.64,-55.42,Cuiaba,-15.601,-56.0974,2.948,237,CoronaVac,aereo
2,True,MS_CampoGrande_Janssen,MS -> CampoGrande,kj,MS,-20.51,-54.54,CampoGrande,-20.4697,-54.6201,2.205,223,Janssen,rodoviario
2,True,MG_BeloHorizonte_CoronaVac,MG -> BeloHorizonte,kj,MG,-18.1,-44.38,BeloHorizonte,-19.9237,-43.9363,2.738,1904,CoronaVac,aereo
2,True,PA_Belem_Pfizer,PA -> Belem,kj,PA,-5.53,-52.29,Belem,-1.4554,-48.5051,3.404,4090,Pfizer,aereo
2,True,PA_Belem_AstraZeneca,PA -> Belem,kj,PA,-5.53,-52.29,Belem,-1.4554,-48.5051,3.404,1435,AstraZeneca,aereo
2,True,PA_Belem_CoronaVac,PA -> Belem,kj,PA,-5.53,-52.29,Belem,-1.4554,-48.5051,3.404,1903,CoronaVac,aereo
2,True,PB_JoaoPessoa_CoronaVac,PB -> JoaoPessoa,kj,PB,-7.06,-35.55,JoaoPessoa,-7.1688,-34.8638,2.525,1389,CoronaVac,aereo
2,True,PB_JoaoPessoa_Janssen,PB -> JoaoPessoa,kj,PB,-7.06,-35.55,JoaoPessoa,-7.1688,-34.8638,2.525,192,Janssen,aereo
2,True,PR_Curitiba_Pfizer,PR -> Curitiba,kj,PR,-24.89,-51.55,Curitiba,-25.429,-49.2671,2.786,1331,Pfizer,aereo
2,True,PR_Curitiba_AstraZeneca,PR -> Curitiba,kj,PR,-24.89,-51.55,Curitiba,-25.429,-49.2671,2.786,8028,AstraZeneca,aereo
2,True,PR_Curitiba_Janssen,PR -> Curitiba,kj,PR,-24.89,-51.55,Curitiba,-25.429,-49.2671,2.786,560,Janssen,aereo
2,True,PI_Teresina_Pfizer,PI -> Teresina,kj,PI,-8.28,-43.68,Teresina,-5.0911,-42.8116,2.997,4285,Pfizer,aereo
2,True,RJ_RioDeJaneiro_Pfizer,RJ -> RioDeJaneiro,kj,RJ,-22.84,-43.15,RioDeJaneiro,-22.9068,-43.1729,2.169,20191,Pfizer,rodoviario
2,True,RJ_RioDeJaneiro_CoronaVac,RJ -> RioDeJaneiro,kj,RJ,-22.84,-43.15,RioDeJaneiro,-22.9068,-43.1729,2.169,5459,CoronaVac,rodoviario
2,True,RN_Natal_Pfizer,RN -> Natal,kj,RN,-5.22,-36.52,Natal,-5.8301,-35.2128,2.660,2954,Pfizer,aereo
2,True,RN_Natal_CoronaVac,RN -> Natal,kj,RN,-5.22,-36.52,Natal,-5.8301,-35.2128,2.660,2489,CoronaVac,aereo
2,True,RN_Natal_Janssen,RN -> Natal,kj,RN,-5.22,-36.52,Natal,-5.8301,-35.2128,2.660,544,Janssen,aereo
2,True,RO_PortoVelho_Pfizer,RO -> PortoVelho,kj,RO,-11.22,-62.8,PortoVelho,-8.7494,-63.9106,2.888,1663,Pfizer,aereo
2,True,RO_PortoVelho_CoronaVac,RO -> PortoVelho,kj,RO,-11.22,-62.8,PortoVelho,-8.7494,-63.9106,2.888,659,CoronaVac,aereo
2,True,RO_PortoVelho_Janssen,RO -> PortoVelho,kj,RO,-11.22,-62.8,PortoVelho,-8.7494,-63.9106,2.888,342,Janssen,aereo
2,True,RS_PortoAlegre_Pfizer,RS -> PortoAlegre,kj,RS,-30.01,-51.22,PortoAlegre,-30.0346,-51.2177,2.059,458,Pfizer,rodoviario
2,True,RS_PortoAlegre_AstraZeneca,RS -> PortoAlegre,kj,RS,-30.01,-51.22,PortoAlegre,-30.0346,-51.2177,2.059,826,AstraZeneca,rodoviario
2,True,RS_PortoAlegre_Janssen,RS -> PortoAlegre,kj,RS,-30.01,-51.22,PortoAlegre,-30.0346,-51.2177,2.059,459,Janssen,rodoviario
2,True,RR_BoaVista_Pfizer,RR -> BoaVista,kj,RR,1.89,-61.22,BoaVista,2.8212,-60.673,2.595,913,Pfizer,aereo
2,True,RR_BoaVista_CoronaVac,RR -> BoaVista,kj,RR,1.89,-61.22,BoaVista,2.8212,-60.673,2.595,523,CoronaVac,aereo
2,True,SC_Florianopolis_Pfizer,SC -> Florianopolis,kj,SC,-27.33,-49.44,Florianopolis,-27.5945,-48.5477,2.551,592,Pfizer,aereo
2,True,SC_Florianopolis_AstraZeneca,SC -> Florianopolis,kj,SC,-27.33,-49.44,Florianopolis,-27.5945,-48.5477,2.551,1207,AstraZeneca,aereo
2,True,SE_Aracaju_AstraZeneca,SE -> Aracaju,kj,SE,-10.9,-37.07,Aracaju,-10.9444,-37.069,2.107,1907,AstraZeneca,rodoviario
2,True,SE_Aracaju_Janssen,SE -> Aracaju,kj,SE,-10.9,-37.07,Aracaju,-10.9444,-37.069,2.107,40,Janssen,rodoviario
2,True,SP_SaoPaulo_CoronaVac,SP -> SaoPaulo,kj,SP,-23.55,-46.64,SaoPaulo,-23.5505,-46.6333,2.015,6658,CoronaVac,rodoviario
2,True,SP_SaoPaulo_Janssen,SP -> SaoPaulo,kj,SP,-23.55,-46.64,SaoPaulo,-23.5505,-46.6333,2.015,4663,Janssen,rodoviario
2,True,TO_Palmas_Pfizer,TO -> Palmas,kj,TO,-10.25,-48.25,Palmas,-10.1845,-48.3337,2.254,16,Pfizer,rodoviario
2,True,PortoVelho_RO_Renato_Medeiros_Pfizer,PortoVelho -> RO_Renato_Medeiros,jp,PortoVelho,-8.7494,-63.9106,RO_Renato_Medeiros,-8.805342,-63.887928,2.145,3106,Pfizer,rodoviario
2,True,PortoVelho_RO_Renato_Medeiros_AstraZeneca,PortoVelho -> RO_Renato_Medeiros,jp,PortoVelho,-8.7494,-63.9106,RO_Renato_Medeiros,-8.805342,-63.887928,2.145,3106,AstraZeneca,rodoviario
2,True,PortoVelho_RO_Renato_Medeiros_CoronaVac,PortoVelho -> RO_Renato_Medeiros,jp,PortoVelho,-8.7494,-63.9106,RO_Renato_Medeiros,-8.805342,-63.887928,2.145,3106,CoronaVac,rodoviario
2,True,PortoVelho_RO_Renato_Medeiros_Janssen,PortoVelho -> RO_Renato_Medeiros,jp,PortoVelho,-8.7494,-63.9106,RO_Renato_Medeiros,-8.805342,-63.887928,2.145,517,Janssen,rodoviario
2,True,PortoVelho_RO_Mariana_Pfizer,PortoVelho -> RO_Mariana,jp,PortoVelho,-8.7494,-63.9106,RO_Mariana,-8.771103,-63.819078,2.224,3106,Pfizer,rodoviario
2,True,PortoVelho_RO_Mariana_AstraZeneca,PortoVelho -> RO_Mariana,jp,PortoVelho,-8.7494,-63.9106,RO_Mariana,-8.771103,-63.819078,2.224,3106,AstraZeneca,rodoviario
2,True,PortoVelho_RO_Mariana_CoronaVac,PortoVelho -> RO_Mariana,jp,PortoVelho,-8.7494,-63.9106,RO_Mariana,-8.771103,-63.819078,2.224,3106,CoronaVac,rodoviario
2,True,PortoVelho_RO_Mariana_Janssen,PortoVelho -> RO_Mariana,jp,PortoVelho,-8.7494,-63.9106,RO_Mariana,-8.771103,-63.819078,2.224,517,Janssen,rodoviario
2,True,RioBranco_AC_Deusimar_Pinheiro_Pfizer,RioBranco -> AC_Deusimar_Pinheiro,jp,RioBranco,-9.9724,-67.8101,AC_Deusimar_Pinheiro,-9.944584,-67.817296,2.069,2334,Pfizer,rodoviario
2,True,RioBranco_AC_Deusimar_Pinheiro_AstraZeneca,RioBranco -> AC_Deusimar_Pinheiro,jp,RioBranco,-9.9724,-67.8101,AC_Deusimar_Pinheiro,-9.944584,-67.817296,2.069,2334,AstraZeneca,rodoviario
2,True,RioBranco_AC_Deusimar_Pinheiro_CoronaVac,RioBranco -> AC_Deusimar_Pinheiro,jp,RioBranco,-9.9724,-67.8101,AC_Deusimar_Pinheiro,-9.944584,-67.817296,2.069,2334,CoronaVac,rodoviario
2,True,RioBranco_AC_Deusimar_Pinheiro_Janssen,RioBranco -> AC_Deusimar_Pinheiro,jp,RioBranco,-9.9724,-67.8101,AC_Deusimar_Pinheiro,-9.944584,-67.817296,2.069,389,Janssen,rodoviario
2,True,RioBranco_AC_Rozangela_Pimentel_Pfizer,RioBranco -> AC_Rozangela_Pimentel,jp,RioBranco,-9.9724,-67.8101,AC_Rozangela_Pimentel,-9.977029,-67.88469,2.177,2334,Pfizer,rodoviario
2,True,RioBranco_AC_Rozangela_Pimentel_AstraZeneca,RioBranco -> AC_Rozangela_Pimentel,jp,RioBranco,-9.9724,-67.8101,AC_Rozangela_Pimentel,-9.977029,-67.88469,2.177,2334,AstraZeneca,rodoviario
2,True,RioBranco_AC_Rozangela_Pimentel_CoronaVac,RioBranco -> AC_Rozangela_Pimentel,jp,RioBranco,-9.9724,-67.8101,AC_Rozangela_Pimentel,-9.977029,-67.88469,2.177,2334,CoronaVac,rodoviario
2,True,RioBranco_AC_Rozangela_Pimentel_Janssen,RioBranco -> AC_Rozangela_Pimentel,jp,RioBranco,-9.9724,-67.8101,AC_Rozangela_Pimentel,-9.977029,-67.88469,2.177,389,Janssen,rodoviario
2,True,Manaus_AM_Luiz_Montenegro_Pfizer,Manaus -> AM_Luiz_Montenegro,jp,Manaus,-3.0922,-60.0604,AM_Luiz_Montenegro,-3.112497,-60.021908,2.105,13822,Pfizer,rodoviario
2,True,Manaus_AM_Luiz_Montenegro_AstraZeneca,Manaus -> AM_Luiz_Montenegro,jp,Manaus,-3.0922,-60.0604,AM_Luiz_Montenegro,-3.112497,-60.021908,2.105,13822,AstraZeneca,rodoviario
2,True,Manaus_AM_Luiz_Montenegro_CoronaVac,Manaus -> AM_Luiz_Montenegro,jp,Manaus,-3.0922,-60.0604,AM_Luiz_Montenegro,-3.112497,-60.021908,2.105,13822,CoronaVac,rodoviario
